group_id,mae,rmse,mape,train_samples,val_samples
41,33.813864130987994,50.55734782855919,5.438022639815685,36,9
581,131.97958149495506,187.90132111370585,5.56893141786751,36,9
405,23.500932729111057,30.70425068999862,5.684882287115971,36,9
583,45.13123796490807,64.7599340972476,5.708146178583115,36,9
270,7.790533299609062,9.405121723775515,5.895278493842235,36,9
303,299.97484972510676,432.32105947531,6.04514221918938,36,9
387,23.81877915694709,31.287953094592556,6.046373212899639,36,9
347,8.250221136043654,9.576307395742528,6.066123948501764,36,9
695,48.186936974477106,69.10574967529342,6.165050871035631,36,9
271,35.95820427777589,45.498193680334644,6.283783435142526,36,9
738,48.4428402779043,68.39178836739667,6.306798384204683,36,9
659,52.169875994754406,75.05538823729765,6.339312868745179,36,9
396,9.220872869791643,10.690891361933286,6.3406762664794725,36,9
708,27.134910209959564,30.823913009465308,6.381138010162793,36,9
348,34.02423783122938,39.4913501850061,6.501964621025241,36,9
43,27.54486251548895,38.1995209417485,6.691191398091615,36,9
709,8.762136998488812,12.008287011169383,6.693797538266388,36,9
42,8.462470951550072,10.446900932350571,6.729865143357992,36,9
469,50.76398061925228,75.33021155632584,6.826926323078868,36,9
37,9.894138366159986,11.959436881873556,6.84675414932853,36,9
200,35.06711124671422,44.259564263606116,6.855498264352332,36,9
378,344.56173565144087,459.9422028675083,7.049342715327205,36,9
397,30.75654306831333,41.0089992256193,7.128295418899189,36,9
403,154.6358973184905,215.07931961785326,7.162806110261482,36,9
150,303.12452993630393,389.4338637366385,7.228959794972521,36,9
624,9.851627732618061,11.271233434773395,7.28029714872209,36,9
40,10.362726633428062,12.129097931487006,7.516852813030753,36,9
706,31.439223272778715,36.3422753763605,7.722950004177041,36,9
116,60.79714369327131,88.07126961067698,7.805814443630102,36,9
201,9.666477503614534,14.183466559064177,7.88729225829603,36,9
459,12.009507216813903,13.155726872723918,7.984927052241648,36,9
570,38.30549869404466,47.248492987146186,8.330665174384771,36,9
466,34.25827371200037,44.4740144492896,8.580436253044905,36,9
447,12.081976802806134,12.801717389761079,8.622721126326269,36,9
76,70.51139704706405,100.72505376193483,8.796814693488807,36,9
199,12.449752300101927,13.738307187722597,8.903564144909028,36,9
577,65.2550026189138,82.85482748428772,8.970252854885766,36,9
301,12.23805878375942,13.117754627176426,9.190976366252121,36,9
74,345.01203907534654,432.91827061229196,9.296167496001493,36,9
152,114.14648810921351,145.7874596039868,9.305017866708084,36,9
157,12.504516721400964,13.699581312557564,9.506719173776485,36,9
398,14.570301130591202,15.186637441422755,9.637048705707402,36,9
30,64.35959732609825,82.26246210179738,9.726817062980352,36,9
468,12.741161968568228,14.196522101472285,9.749170146018033,36,9
380,65.33052182742865,79.31369758264174,9.838522159802492,36,9
586,49.03769698866458,65.33182321085535,9.958361385133419,36,9
305,127.68171986242591,153.22427160103683,10.046639226124972,36,9
298,13.406077757734128,15.331306932610293,10.101247154828783,36,9
399,49.221363047480914,67.42412979814625,10.118047747174836,36,9
235,67.03386203684892,83.45335098598842,10.284375356189447,36,9
395,211.84814866394984,262.6953174939648,10.308809339342126,36,9
38,52.94762247400169,59.1104368877152,10.550815217344232,36,9
225,31.64296974926519,40.07840785240394,10.621911060283882,36,9
390,33.06986031336636,52.125763111784096,10.692810183888607,36,9
401,15.73445083045468,17.983778634576826,10.746095576539949,36,9
307,11.886691231636277,14.583700205582497,11.459550749394865,36,9
304,14.86355212290604,18.027595599525913,11.622207391571699,36,9
404,15.206306220603652,19.248629383525945,11.706990459165285,36,9
197,62.05395214426049,86.12024165870442,11.737203368301847,36,9
538,35.81035084609877,47.30566448649811,12.069085896996162,36,9
391,272.6506543409153,305.97646853724524,12.144004976529615,36,9
691,16.516175866685277,17.265065704114004,12.373781537590139,36,9
231,17.07303494481872,17.95983333781927,12.673634251664199,36,9
213,68.70891340205438,83.65541925104587,12.998141362083723,36,9
542,87.59891517380704,106.25084820596105,13.040488348938927,36,9
238,69.6573909770142,84.2501989519815,13.077177688561237,36,9
295,34.33359711950748,42.90832162410012,13.6669779113055,36,9
385,58.02954112332319,69.01291668181928,13.770852027389404,36,9
741,67.65172907663309,84.46076714675308,13.857752562577453,36,9
694,17.434278132359832,19.567059235063606,13.992716195228036,36,9
682,70.52292596540828,91.61241565045887,14.731259925072635,36,9
623,72.11857115914356,87.63457011735257,14.920071529567993,36,9
149,113.74162213307112,172.90368922887978,15.232294917003427,36,9
29,18.614031372971834,20.058351837509367,15.254952784683493,36,9
561,71.93555259878849,95.92212826084983,15.305146721842208,36,9
450,21.582010535617435,23.286414954562655,15.793231399744217,36,9
302,116.04624320911807,173.4913560837149,16.01821112663412,36,9
582,20.333683253348102,22.37836408677979,16.048376053517824,36,9
698,73.25961837441189,94.36658913015214,16.053499872293227,36,9
541,20.270433421048875,22.896593421119906,16.397376236965666,36,9
697,15.719077237393764,18.604285175211935,16.677422819084995,36,9
580,147.45263094213595,233.0983708895403,16.938758851226552,36,9
692,137.35314632297977,210.92266865423247,17.04938063759578,36,9
308,80.35632411779103,106.60639681988168,17.148955026888913,36,9
36,48.039767571066946,57.40682944705124,17.454724735861927,36,9
658,20.62562817425281,21.846365373249593,18.340770497589478,36,9
585,17.077367461433656,19.68224845516038,18.892753001500378,36,9
73,124.54203952864398,176.71450308757414,19.302642615015824,36,9
234,24.35499272702837,26.366088373851202,19.462939737455873,36,9
393,57.38143625447154,67.48665690071422,20.036670769977704,36,9
573,43.76735838660412,56.524496283653754,20.121466114512124,36,9
222,70.69576994741017,74.21100571569198,20.187000709761367,36,9
151,24.820910720111765,27.784435081153582,20.26381450748772,36,9
237,16.960458717668576,19.272893811388716,22.052118931497233,36,9
740,19.322276935826324,23.75393822347644,23.465583451635602,36,9
