group_id,mae,rmse,n_points,group_label
305,0.14974652750296982,0.2219799886161088,32832,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | Medium
233,0.20496627613875024,0.2978537431899896,32832,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | High
581,0.20360425168563748,0.3018949467980477,32832,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | High
403,0.22306923667749076,0.32829816352649244,32832,Southern Finland | Uusimaa | Espoo | Private | Variable Price | High
395,0.23111770514693095,0.3494665227242845,32832,Southern Finland | Uusimaa | Espoo | Private | Fixed Price | High
198,0.2432929577121355,0.35356450771510206,32832,Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | High
391,0.26036732262071716,0.36713948684974834,32832,Southern Finland | Uusimaa | Espoo | Enterprise | Spot Price | Medium
400,0.25150734315418355,0.37236841305404406,32832,Southern Finland | Uusimaa | Espoo | Private | Spot Price | High
394,0.2773156442076886,0.4543483987916734,32832,Southern Finland | Uusimaa | Espoo | Enterprise | Variable Price | Medium
150,0.43249148126881387,0.634993364367202,32832,Lapland | Lappi | Lappi | Private | Spot Price | High
657,0.4282608169810962,0.635986628473097,32832,Western and Inland Finland | Keski-Suomi | Keski-Suomi | Private | Spot Price | High
28,0.43271503502394987,0.6416493041529113,32832,Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | High
693,0.4489132215018295,0.6713459217335752,32832,Western and Inland Finland | Pirkanmaa | Pirkanmaa | Private | Spot Price | High
74,0.4524262912933048,0.6751683326426482,32832,Eastern Finland | Pohjois-Karjala | Pohjois-Karjala | Private | Spot Price | High
303,0.46092222247949277,0.6992936867741493,32832,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | High
378,0.4803749660530191,0.7141613120592976,32832,Southern Finland | Päijät-Häme | Päijät-Häme | Private | Spot Price | High
