group_id,mae,rmse,n_points,group_label
570,94.92071462279507,131.71345295538282,33,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Enterprise | Spot Price | Low
238,96.63267892678222,136.97477632203154,33,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Variable Price | Medium
222,112.5380587314307,139.71760241713397,33,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Enterprise | Spot Price | Low
583,107.26360485417597,146.38911920026325,33,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | Medium
469,111.10991619444512,149.54689730217734,33,Southwestern Finland | Satakunta | Pori | Private | Spot Price | Medium
149,88.83807520253718,150.39490749101483,33,Lapland | Lappi | Lappi | Private | Flat/Hybrid | Medium
308,102.09480665997951,152.64604951343685,33,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Variable Price | Medium
698,102.50481743962821,153.69560811931515,33,Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Variable Price | Medium
741,109.95274140542094,157.08899020596755,33,Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Variable Price | Medium
695,114.36005303161573,157.7184818437198,33,Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Spot Price | Medium
738,117.41550694318637,161.2646504037958,33,Western and Inland Finland | Pohjanmaa | Pohjanmaa | Private | Spot Price | Medium
302,98.01591308436693,161.46680751560226,33,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Flat/Hybrid | Medium
692,95.05176605653564,166.19413467155695,33,Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Flat/Hybrid | Medium
116,128.31192021465202,178.39306478631082,33,Eastern Finland | Pohjois-Savo | Pohjois-Savo_Others | Private | Spot Price | Medium
235,131.2065319971296,180.36513608102987,33,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | Medium
